talkIdx,Idx,skipAble,brightCharacter,Name,TextKR,TextEN,TextJP,characterLeftest,characterLeftestFace,characterLeftestX,characterLeft,characterLeftFace,characterLeftX,characterRight,characterRightFace,characterRightX,characterRightest,characterRightestFace,characterRightestX,eventType,backGround,imagePlace,imageIdx,BackSnd,SFX
0,0,1,a1000,용사,…,.,.,.,.,-125,.,.,-100,.,.,100,.,.,125,0,empty,2,0,-999,-999
0,1,1,a0001,마녀,…,.,.,Witch,idle_0,-125,.,.,-100,.,.,100,Witch,idle_0,125,0,empty,2,1,-999,-999
0,2,1,a1000,용사,그러니까…,.,.,Yongsa,doubt_0,-125,.,.,-100,.,.,100,Witch,idle_0,100,0,empty,2,2,-999,-999
0,3,1,a1000,용사,지금 이 대화는 테스트라는 거지?,.,.,Yongsa,panic_1,-125,.,.,-100,.,.,100,Yongsa,idle_0,125,0,empty,1,0,-999,-999
0,4,1,a0001,마녀,그렇게 되겠네요?,.,.,Yongsa,panic_1,-125,.,.,-100,.,.,100,Witch,panic_0,125,0,empty,1,1,-999,-999
0,5,1,a0000,관리자,그렇습니다!,.,.,Yongsa,panic_1,-125,.,.,-100,.,.,100,Witch,panic_0,100,0,empty,1,2,-999,-999
0,6,1,a1001,용사 & 마녀,뭐가 그렇습니다야!,.,.,Yongsa,panic_0,-125,.,.,-100,.,.,100,Witch,angry_0,125,0,empty,2,0,-999,-999
1,0,0,a0000, ,도서관에 어서오세요!,Welcome to the Library!,図書館へようこそ！,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,0,0,-999,-999
1,1,0,a0000, ,도서관에서는 모험 중 만난 동료들의 운명을 인형에 불러와서\n함께 모험하는 것이 가능합니다.,In the Library+o you can summon the destinies of companions\nmet during your adventures into dolls and adventure together.,図書館では、冒険中に出会った仲間の運命を人形に呼び出して\n一緒に冒険することが可能です。,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,0,0,-999,-999
1,2,0,a0000, ,불러올 수 있는 운명들은\n위 버튼들을 클릭해 확인할 수 있습니다.,You can check the summonable destinies\nby clicking the buttons above.,呼び出せる運命は\n上のボタンをクリックして確認できます。,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,1,94,-999,-999
1,3,0,a0000, ,선택한 운명의 정보는 칠판에서 확인할 수 있습니다.,The information for the selected destiny\ncan be viewed on the blackboard.,選択した運命の情報は黒板で確認できます。,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,1,95,-999,-999
1,4,0,a0000, ,동료로 데려갈 운명을 선택했다면+o\n인형을 눌러 동료로 확정지으세요!,Once you've chosen the destiny to bring as a companion+o\npress the doll to confirm them as your companion!,仲間に連れて行く運命を選んだら+o\n人形を押して仲間に確定させましょう！,.,.,-125,.,.,-50,.,.,50,.,.,125,0,empty,1,96,-999,-999
